unofficial_name,category,fluid,unit,truth,raw_predicted,predicted,match_type,affected_rows,error
Еритроцит,Гематологія,Кров,%,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,3993,
Міжнародне нормалізоване відношення,Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,1248,
Протромбіновий час,Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",Протромбіновий час (PT),Протромбіновий час (PT),exact,1186,
Ca,Хімія,Кров,mg/dL,Кальцій [Моль/об’єм] у сироватці або плазмі.,Хімія,(no_match),no_match,1069,
Похила пробірка,Гематологія,Кров,sec,аЧТЧ у крові за допомогою коагуляційного аналізу,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,786,
UN,Хімія,Кров,mg/dL,Сечовина азот [Маса/об’єм] у Сироватці або Плазмі,Кров містить mg/dL; Назва UN; Категорія Хімія; Тип зразка: Кров; Одиниці: mg/dL,(no_match),no_match,674,
BIC,Хімія,Кров,mEq/L,Бікарбонат [Моль/об’єм] у Сироватці або Плазмі,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],exact,670,
K+,Хімія,Кров,mEq/L,Калій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у крові.,Натрій [Моль/об’єм] у крові.,exact,670,
AnGAP,Хімія,Кров,mEq/L,"Аніонний інтервал у сироватці або плазмі, розрахований за 4 іонами.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,668,
бікарбонат,Хімія,Кров,mEq/L,Бікарбонат [Моль/об’єм] у Сироватці або Плазмі,(parse_fail),(no_match),parse_fail,663,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 195325, Requested 10486. Please try agai"
CR,Хімія,Кров,mg/dL,Креатинін [Маса/об’єм] у сироватці або плазмі.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,663,
Глюкоза [Маса/Об’єм],Хімія,Кров,mg/dL,Глюкоза [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,662,
HCO3 [Моль/Об’єм],Хімія,Кров,mEq/L,Бікарбонат [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,662,
Парціальний тиск,Гази крові,Кров,mm Hg,Вуглекислий газ [парціальний тиск] у крові.,Кисень [парціальний тиск] у крові,Кисень [парціальний тиск] у крові,exact,661,
BUN,Хімія,Кров,mg/dL,Сечовина азот [Маса/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,658,
Аніонний інтервал Розраховано. 4Іони [Моль/л],Хімія,Кров,mEq/L,"Аніонний інтервал у сироватці або плазмі, розрахований за 4 іонами.",(parse_fail),(no_match),parse_fail,658,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 200000, Requested 10501. Please try agai"
Cl,Хімія,Кров,mEq/L,Хлориди [Моль/об’єм] у Сироватці або Плазмі,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,654,
N2,Хімія,Кров,mg/dL,Сечовина азот [Маса/об’єм] у Сироватці або Плазмі,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,650,
SBC,Хімія,Кров,mEq/L,Бікарбонат [Моль/об’єм] у Сироватці або Плазмі,Kокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,fuzzy,643,
Автоаглютинація еритроцитів (Кров) [Ширина розподілу],Гематологія,Кров,%,Еритроцити [DistWidth] у крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,628,
WBC,Гематологія,Кров,K/uL,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,627,
Лейк,Гематологія,Кров,K/uL,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,626,
Глюк,Хімія,Кров,mg/dL,Глюкоза [Маса/об’єм] у сироватці або плазмі.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,623,
Нітрит,Хімія,Кров,mg/dL,Сечовина азот [Маса/об’єм] у Сироватці або Плазмі,Нітрити [наявність] у сечі за допомогою тест-смужки.,Нітрити [наявність] у сечі за допомогою тест-смужки.,exact,623,
Креатинін [Маса/Об’єм],Хімія,Кров,mg/dL,Креатинін [Маса/об’єм] у сироватці або плазмі.,(parse_fail),(no_match),parse_fail,621,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 198519, Requested 10491. Please try agai"
Ентична маса,Гематологія,Кров,pg,МСН [Утворення маси] за допомогою автоматизованого підрахунку.,Хімія,(no_match),no_match,619,
Дискоцити,Гематологія,Кров,m/uL,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Гематологія,(no_match),no_match,615,
